name,filiere,eicCode,plantId,reactorIndex,stage,netPower_MW
GRAVELINES 3,Nucléaire,17W100P100P0132S,GRAVELINES,3,NUCLEAR,910
GRAVELINES 4,Nucléaire,17W100P100P0133Q,GRAVELINES,4,NUCLEAR,910
GRAVELINES 5,Nucléaire,17W100P100P0135M,GRAVELINES,5,NUCLEAR,910
GRAVELINES 6,Nucléaire,17W100P100P0136K,GRAVELINES,6,NUCLEAR,910
MARTIGUES PONTEAU 5,Gaz,17W100P100P0174C,MARTIGUES PONTEAU,5,FOSSIL_GAS,465
MARTIGUES PONTEAU 6,Gaz,17W100P100P0175A,MARTIGUES PONTEAU,6,FOSSIL_GAS,465
MONTEREAU 5,Fioul,17W100P100P0040X,MONTEREAU,5,FOSSIL_OIL,185
MONTEREAU 6,Fioul,17W100P100P0041V,MONTEREAU,6,FOSSIL_OIL,185
MONTEZIC 1,Hydraulique,17W100P100P0071M,MONTEZIC,1,HYDRO_PUMPED_STORAGE,227
MONTEZIC 2,Hydraulique,17W100P100P0072K,MONTEZIC,2,HYDRO_PUMPED_STORAGE,227
MONTEZIC 3,Hydraulique,17W100P100P0073I,MONTEZIC,3,HYDRO_PUMPED_STORAGE,227
MONTEZIC 4,Hydraulique,17W100P100P0074G,MONTEZIC,4,HYDRO_PUMPED_STORAGE,227
NOGENT 1,Nucléaire,17W100P100P0137I,NOGENT,1,NUCLEAR,1310
NOGENT 2,Nucléaire,17W100P100P0138G,NOGENT,2,NUCLEAR,1310
PALUEL 1,Nucléaire,17W100P100P0139E,PALUEL,1,NUCLEAR,1330
PALUEL 2,Nucléaire,17W100P100P0140T,PALUEL,2,NUCLEAR,1330
PALUEL 3,Nucléaire,17W100P100P0141R,PALUEL,3,NUCLEAR,1330
PALUEL 4,Nucléaire,17W100P100P0142P,PALUEL,4,NUCLEAR,1330
PENLY 1,Nucléaire,17W100P100P0143N,PENLY,1,NUCLEAR,1330
PENLY 2,Nucléaire,17W100P100P0144L,PENLY,2,NUCLEAR,1330
Pont-sur-Sambre,Gaz,17W100P100P00016,PONT SUR SAMBRE,-,FOSSIL_GAS,445
POUGET 4,Hydraulique,17W100P100P0075E,POUGET,4,HYDRO_WATER_RESERVOIR,286
PROVENCE 4 BIOMASSE,Biomasse,17W100P100P03655,PROVENCE,4,BIOMASS,150
REVIN 1,Hydraulique,17W100P100P0076C,REVIN,1,HYDRO_PUMPED_STORAGE,202
REVIN 2,Hydraulique,17W100P100P0077A,REVIN,2,HYDRO_PUMPED_STORAGE,202
REVIN 3,Hydraulique,17W100P100P00788,REVIN,3,HYDRO_PUMPED_STORAGE,202
REVIN 4,Hydraulique,17W100P100P00796,REVIN,4,HYDRO_PUMPED_STORAGE,202
Saint_Avold_7,Gaz,17W100P100P00105,SAINT AVOLD,-,FOSSIL_GAS,446
Saint_Avold_8,Gaz,17W100P100P00113,SAINT AVOLD,-,FOSSIL_GAS,446
SISTERON 1,Hydraulique,17W100P100P0080L,SISTERON,1,HYDRO_WATER_RESERVOIR,124
SISTERON 2,Hydraulique,17W100P100P0081J,SISTERON,2,HYDRO_WATER_RESERVOIR,126
SPEM CCG,Gaz,17W100P100P0171I,SPEM,-,FOSSIL_GAS,435
ST ALBAN 1,Nucléaire,17W100P100P0145J,ST ALBAN,1,NUCLEAR,1335
ST ALBAN 2,Nucléaire,17W100P100P0146H,ST ALBAN,2,NUCLEAR,1335
ST LAURENT 1,Nucléaire,17W100P100P0147F,ST LAURENT,1,NUCLEAR,915
ST LAURENT 2,Nucléaire,17W100P100P0148D,ST LAURENT,2,NUCLEAR,915
SUPER BISSORTE 1,Hydraulique,17W100P100P0082H,SUPER BISSORTE,1,HYDRO_PUMPED_STORAGE,152
SUPER BISSORTE 2,Hydraulique,17W100P100P0083F,SUPER BISSORTE,2,HYDRO_PUMPED_STORAGE,152
SUPER BISSORTE 3,Hydraulique,17W100P100P0084D,SUPER BISSORTE,3,HYDRO_PUMPED_STORAGE,152
SUPER BISSORTE 4,Hydraulique,17W100P100P0085B,SUPER BISSORTE,4,HYDRO_PUMPED_STORAGE,152
SUPER BISSORTE 5,Hydraulique,17W100P100P00869,SUPER BISSORTE,5,HYDRO_PUMPED_STORAGE,162
TRICASTIN 1,Nucléaire,17W100P100P0149B,TRICASTIN,1,NUCLEAR,915
TRICASTIN 2,Nucléaire,17W100P100P0150Q,TRICASTIN,2,NUCLEAR,915
TRICASTIN 3,Nucléaire,17W100P100P0152M,TRICASTIN,3,NUCLEAR,915
TRICASTIN 4,Nucléaire,17W100P100P0153K,TRICASTIN,4,NUCLEAR,915
VAIRES 1,Fioul,17W100P100P0046L,VAIRES,1,FOSSIL_OIL,181
VAIRES 2,Fioul,17W100P100P0047J,VAIRES,2,FOSSIL_OIL,179
VAIRES 3,Fioul,17W100P100P0048H,VAIRES,3,FOSSIL_OIL,182
VILLARODIN 1,Hydraulique,17W100P100P00877,VILLARODIN,1,HYDRO_WATER_RESERVOIR,182
VILLARODIN 2,Hydraulique,17W100P100P00885,VILLARODIN,2,HYDRO_WATER_RESERVOIR,182
