name,filiere,category,eicCode,plantId,reactorIndex,netPower_MW
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,,CADEROUSSE,5,31.5
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,,CHATEAUNEUF-DU-RHONE,5,46
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,,GENISSIAT,5,66.2
GROUPE 05 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,,LOGIS-NEUF,5,32
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BEAUCAIRE,Hydraulique fil de l'eau / éclusée,,BEAUCAIRE,6,35
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BEAUCHASTEL,Hydraulique fil de l'eau / éclusée,,BEAUCHASTEL,6,32
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BOLLENE,Hydraulique fil de l'eau / éclusée,,BOLLENE,6,58.4
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE BOURG-LES-VALENCE,Hydraulique fil de l'eau / éclusée,,BOURG-LES-VALENCE,6,30
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,,CADEROUSSE,6,30.9
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,,CHATEAUNEUF-DU-RHONE,6,45.8
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,,GENISSIAT,6,69.8
GROUPE 06 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,,LOGIS-NEUF,6,32
HERMILLON,Hydraulique fil de l'eau / éclusée,,HERMILLON,-,118.6
MALGOVERT,Hydraulique lacs,HYDRAULICS,,MALGOVERT,-,297
MARTIGUES PONTEAU 5,Gaz,,MARTIGUES PONTEAU,5,465
MARTIGUES PONTEAU 6,Gaz,,MARTIGUES PONTEAU,6,465
MONTEREAU 5,Fioul,,MONTEREAU,5,185
MONTEREAU 6,Fioul,,MONTEREAU,6,185
MONTEYNARD,Hydraulique lacs,HYDRAULICS,,MONTEYNARD,-,366
MONTEZIC 1,Hydraulique STEP,,MONTEZIC,1,227
MONTEZIC 2,Hydraulique STEP,,MONTEZIC,2,227
MONTEZIC 3,Hydraulique STEP,,MONTEZIC,3,227
MONTEZIC 4,Hydraulique STEP,,MONTEZIC,4,227
MONTPEZAT,Hydraulique lacs,HYDRAULICS,,MONTPEZAT,-,131.8
NOGENT 1,Nucléaire,NUCLEAR,,NOGENT,1,1310
NOGENT 2,Nucléaire,NUCLEAR,,NOGENT,2,1310
ORAISON,Hydraulique lacs,HYDRAULICS,,ORAISON,-,187.5
PALUEL 1,Nucléaire,NUCLEAR,,PALUEL,1,1330
PALUEL 2,Nucléaire,NUCLEAR,,PALUEL,2,1330
PALUEL 3,Nucléaire,NUCLEAR,,PALUEL,3,1330
PALUEL 4,Nucléaire,NUCLEAR,,PALUEL,4,1330
PENLY 1,Nucléaire,NUCLEAR,,PENLY,1,1330
PENLY 2,Nucléaire,NUCLEAR,,PENLY,2,1330
