name,filiere,category,eicCode,plantId,reactorIndex,stage,thermalPower_MW,rawPower_MW,netPower_MW,buildStartDate,firstReactionDate,gridLinkDate,exploitationStartDate,moxAuthorizationDate,coolingTowerCount
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BREGNIER-CORDON,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BREGNIER-CORDON,1,,,,35,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE BRENS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,BRENS,1,,,,45,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CADEROUSSE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CADEROUSSE,1,,,,30.9,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CHATEAUNEUF-DU-RHONE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHATEAUNEUF-DU-RHONE,1,,,,46,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE CHAUTAGNE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,CHAUTAGNE,1,,,,45,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE GENISSIAT,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GENISSIAT,1,,,,65.1,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE GERVANS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,GERVANS,1,,,,30,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE LOGIS-NEUF,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,LOGIS-NEUF,1,,,,32,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE PIERRE-BENITE,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,PIERRE-BENITE,1,,,,20,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SABLONS,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SABLONS,1,,,,40,,,,,,
GROUPE 01 DE LA CENTRALE HYDRAULIQUE DE SAULT-BRENAZ,Hydraulique fil de l'eau / éclusée,HYDRO_RUN_OF_RIVER_AND_POUNDAGE,,SAULT-BRENAZ,1,,,,22.3,,,,,,
